北中心测试环境有几套，都是什么环境？	八套环境
标签太多了	附议～～～确实不方便～提请修改
需求优化建议一增加问题状态分类及搜索功能	可以考虑。目前在“我的-我的提问”里面有问题的状态；另外，问题也有“”消息-待回答问题”特殊状态
怎么按机构加入或搜索特定用户	请选择正确一级标签后提问
如何按照机构等加关注用户	是啊
标签里没有信用卡呢，下周全部产品经理体验哦	标签有“ 信用卡账户 信用卡还款  信用卡审核”三个，增加的需求可联系肖烨
快捷键里只有关注和回答问题，建议增加评论	目前只能评论答案，不支持对问题的评论～
首页里只显示了回答问题的人，没有提问方，不容易判断问题级别等，建议主要信息突出显示	这个后续会加上提问人的头像和名称，就可以体现出来了
发现里找到特定用户后只能关注，后续有哪些特殊的？	未关注标签的专家、粉丝数排名靠前的用户等会被推出
评论被回复，在‘我的’有提示，但是需要三步才能看到，且两步显示画面差别不大	不是在我的里面吧？在消息-收到的评论里面会有
是否支持繁体中文版本？	应用内均为简体中文，暂无繁体版本。若手机系统切换为繁体中文不影响使用
建议可否将白皮书相关组件纳入问题选择输入域中 以便于问题快速定位。	问题库和业务对接后导入的。此需求可联系肖烨
可否提供问题去重筛选 可以看到类似问题关键字的答案	鏈夋鍔熻兘銆傛湭鑳藉緢濂界殑鐞嗚В闇€姹傪煒?
建议产品经理名下可以查看本专业所有问题 包括已解决和未解决的	目前可分别查看标签下包含的所有问题，不知是否满足
建议可以通过搜索定位所有境外用户提问的问题 目前搜索包括题目和用户 建议分开	目前是分开的。搜索框下有综合  问题  标签  用户。
标签太乱	徐总您贴个图吧，点击添加答案-添加图片，谢谢
手机银行为什么有bug?	试试添加答案
app优化建议2	手机系统通知的推送，正在进行中。
标签没有排序、检索功能	支持
输入框提示问题	涉及到对功能的直观理解性，会通过优化页面间距提升美观性
建议问题描述和回答问题增加语音	好建议！根据研发力量和推广计划考虑此问题
我的关注里显示不出一级标签	标签被关注后就不分一二级了，在推广过程中会深入了解对标签的需求的
CRS微视频课件	本系统暂不支持视频课件上传功能。
我关注的问题收到了一个回答，但是显示两遍	这个问题有结论吗？我这里也这个情况
问题现象：企业网银客户批量支付时，校验报错“此上传文件为旧格式，仅支持加急或普通	解决方案：在提交的文件中存在折行（就是一个字段里边有回车或者自动换行），导致系统解析失败，请客户注意在以后上传附件时注意是否存在折行。删除折行后提交即可。
用户数据没有展现电话所属团队等信息，建议关注	您好，请问电话所属团队的作用是？不是很清楚
标签排序问题，联系按照使用频次等排列，商场，用过的在最前	请问是“发现”里面的标签吗
问题只能自己输入标签，可以在问题里关键字识别自动打标签	智能化建设在计划中，目前在完善基本的功能～
发现里只能选定具体用户后关注，建议可以按照机构批量查找添加以及搜索功能	主要引导通过标签给推送问题～
首页显示问题后的操作	评论只能针对答案～点赞功能排期优化中
录入信息保存	输入的标题不能保存，但是输入的问题描述可以保存。考虑到标题简短，描述一般较长，才做此处理。
关于标签	4.提问题时建议支持选取希望答复的专家，比如按标签类别给个专家团队列表，不选按默认走
不能评论问题本身吗	目前只能评论答案，对于问题的评论可以直接添加答案即可
建议搜索和新建问题分开，类似百度一样，在查不到的时候再给出新建页面。	安卓有此功能，ios排期开发中。
点赞和评论很麻烦	收,已记录
问题分类	目前是根据关注的用户和标签按时间线推送的，在推广过程中验证易用性
建议简化回答问题的流程	之前我想得片面了，还是要有评论和点赞，这样更好玩
10月版批量计划从哪里获取？	pie.cs.icbc
“发现”模块中，“用户”一栏，点击“更多”按钮后无搜索人名的功能。	此页是系统推荐的，数量有限，故没有搜索。如果查找用户，可使用首页的搜索功能，谢谢
“我的”模块下，“我的提问”和“我的回答”一栏，均需要增加搜索功能。易用性。	收
通过手工录入匹配标签后上传，报违反唯一约束条件	下个版本解决此问题！
“提交问题”功能的问题	应该支持
首页展现美观问题	测试第二次
10月版什么时候投产？	11月4日
已提交的问题能删除吗	近期会提供web端的功能，专家能够删除问题。
建议优化关注	同感！！！附议
工行是否有对公户线上托管业务？比如由第三方（如微信）发起，资金到银行账户？	标签选错发布了貌似不能再更改，或者去除之前的标签？
问题标题显示问题	新版本未发现此问题，更新下版本试试看， 如果有问题感谢继续反馈
问题描述页有时调不出输入法，标题和标签页可以。ip6ios10.3.3。	您是搜狗输入法吗？
首页有头像了	鏍囩涓婁篃鍔犲叆浜嗗浘鏍囷紝涓板瘜涓€涓嬪睍鐜版晥鏋滐紒馃槃
基层支行人员若认为某业务需求目前工行系统不支持，但希望系统增加，能怎么做呢？	可以把详细的业务需求，发给产品对应总行业务部门负责产品研发或营销处室，经研究需求合理有市场前景，可以进行优化变更或立项研发；或在总行网讯对应栏目提优化建议，也定期会组织总行业务部门答复。
发现页面关注问题	明天在android设备确认一下给您答复。
如何修改关注的标签	您好，是想关注更多的标签或者取消已关注的标签吗？发现-标签-更多里可以关注更多的标签。“我的”里“我的关注”里可以找到关注过的标签，可以在里面取消关注。
用户头像，不能放大？	首页的头像的确太小了，稍大点至少能认出个模样啊
app优化建议（多条）	1.首页问题标题和回答展示上前面加上提问人和回答人的名字：比如xxx问、xxx答：<br/>2.首页图片缩略图采用微博九宫格设计，避免有些图片占用页面较大，同时可支持多图展示<br/>3.首页增加一个浮动图标，支持专家用户直接进入待回答问题列表<br/>4.消息推送提醒功能<br/>5.待处理问题列表区分待回答的问题、待确认最佳答案的问题<br/>
手机银行自助添加的他行卡如何删除？	静待回答
标签页选择后如何重置	【取消关注】在“我-我的关注”里面，点开每条详情，可以分别取消关注 &nbsp;【关注】1、批量关注标签，在“发现-标签-更多-全部”管理 2、关注人物和问题，需要在首页、发现等位置单独去关注
如何在本系统修改或新增自己关注的专业	有人答复吗
为什么自己提出的问题，一天后就作废？什么机制？	兴建，我看是随意测试的内容，怕分行体验不好，后台清理了一下。需要的话我可以激活。
标签模糊匹配	已修复，谢谢帮忙发现问题。
新版本安装	服务器推送的更新版本，还未上传到第三方托管平台，导致下载安装的并非最新版本，因此仍会提示更新。后续我们控制好发布流程，谢谢
首页下拉刷新存在长时间等待的问题，等待过程中做其他操作，返回后依然在等待	上面那个图片是14.04开始刷新的，十分钟了依然在等待
安卓带图片的问题详情页很难滚动。	优化中
建议App中所有的“人物”统一为“用户”	ok
社保卡换卡需要哪些交易完成	借记卡通过1993交易换卡，社保信息更新为山东分行特色功能，请联系孙华森确认。
我的关注里标签页显示问题	iOS端的bug,修复中。谢谢
用户体系设计建议	高总，目前根据关注的领域推荐中心产品线专家，后续会考虑引入积分等级排名方式，将专家大牛体现出来，不限中心和分行。
搜索信息显示为空	刚刚跟搜索服务器的连接有点问题，已经恢复了。
每套测试版本升级能提供版本号列表吗？	你好。每套环境的版本集中升级都是发8家重点测试行的，附版本号+具体应用清单。日常每日补丁安装都发版本号+各套环境安装规则。都是通过测试中心邮箱发分行测试邮箱。请详查。谢谢。
预审批单提交审批时机构无法选到上级行	只有交易主管、行领导岗位上报时可以选到上级行，经办员和复核员岗位无法选到上级行。
测试	测试
10月版本FMbm投演环境地址是什么？	94环境，http://83.28.225.94:9080/fmbm
北京近来天气查，为什么？	闄嶆俯馃槂
感觉字有点小，能调整吗？	谢谢
问题页看不到用户名	您说的是在答案详情页里的问题标题没有人名吗？如果是这样，是正确的，您可以点击标题，查看问题详情。问题详情页和答案详情页是不一样的。
我提的问题，为何别人看不到？	徐老师，您提的问题关注了对应领域标签下的用户都能看到。
奇怪，就是看不到	奇怪，为何会出现丢失问题的情况？我提交了多个问题，为何有的能看到，有的看不到？
截止目前为止，我提交了三个问题，只有最后一个问题可以看到，为什么？	都能看到
丢失提问这个问题需要解决	能看到提了5个问题，数量对么？
pad审核参数只添加new-padapp-flag为1，是否同时支持独立和嵌入	不同时支持的，还要设置独立版和嵌入版的参数，只设置如上参数的话，为嵌入版审核。
这么多人提问题是不是都刷晕了	先记下来后，是bug的先改。其他需求涉及功能或易用性的下周讨论后再安排。
点设置中的功能介绍没反应	开发中....
个人提问能否被删除？	感谢您的试用删除提问的相关功能有权限控制哈目前用户自己不能删除
测试后，有如下咨询问题：
1、可以显示问题提出人的手机号吗？	单位、部门都可以看到，但没有手机号呀。
2，我先前提交的问题为何会自动丢失？	这个应该不会。我的里面能找到所有您自己提交的问题！
3，有些问题是否可以转notes上处理，然后将结果通过notes反馈到app上？	后续会开放web端的功能，在办公电脑上即可处理问题。
4，中心各部门app值班人员可以查到吗？	徐老师，app是消息提醒机制，后续的版本会有类似微信的通知消息提示，保证问题回复及时性。值班需要后续服务支持机制明确后再考虑。
建议丰富发现里面的内容	收。可以增加一个公告牌，用轮播图的方式，运营一些中心特色的内容。
收到的回答	下个版本优化一下。
什么时间支持附件	高总，附件支持的需求实现会在二期重点考虑，一期问答功能稳定后就会着手研究实施。
版本投产后，反映的情况是否可以按版本进行检索？	戴总，版本投产问题会统一归集到投产验证标签下，支持按版本检索，匹配中心现有生产支持模式。
提问如何选择标签	戴总，标签体系的重构方案正在研究，后续希望拿出一套用户易于理解的标签体系。
有了合适的回答是否要设为最佳答案	当您的问题被被很好的回答 并且您认为已经解决了请您进入相关回答页面 点击左下角 设为最佳 按钮将问题状态改为 已解决方便问题归档的同时还能让大家快速找到最佳答案！多谢您的配合
北数i服务App每周至少保证两次版本发布！	如题。请在“我的”-“设置”-“关于”中检测新版本。
当自己的问题收到回复时是否可以实现手机消息提醒?	您好，系统消息推送功能正在开发中，敬请期待。
消息提醒问题	外面是红点提示，换成数字会给用户较多压力。如果对数字有强烈需求再做调整。
在首页问题下只能看到评论条数，查看不了评论。	感谢您的试用点击回答-进入回答详情-点击右下角图标-进入评论页面
测试多图	鍏紶鍥炬鏃犲帇鍔涳紝馃憤
nova+1.9.10版本投产手机银行问题	标记
11月4日周末投产的标签是不是还没建立呢？	还木有，下周一起想想怎么建标签比较好
APP使用建议	您好 设计的初衷是为了有的问题可以一句话说明白 所以把问题描述放的重要性比较低&nbsp;
首页搜索用户信息展示问题	需要对机构名称做一下缩减处理。
用户重复	您好，我们已经开始排查问题，尽快修复，感谢您的反馈~~
u盾在iPhone8没法正常使用，怎么破？	最新版本已经好了
电话没法维护？	您好，目前已经支持联系电话的修改和维护，您在我的页面，点击电话即可进入维护页面就行修改，若无法修改，烦请您重新下载新版本app即可，感谢您的试用和支持！
湖北分行一致要参与，是否二批考虑试点	好的，温工，我联系湖北分行李总。
发现—热门用户关注问题	您好，这个问题项目组正在修复，下个版本就会解决，感谢您的试用和反馈！
ios-发现里无法添加标签	正在优化发现中不出现热门标签的问题~ &nbsp;另外关注标签，可通过单独搜索实现，或者看到一个关注一个。还可以在提问的第二部添加标签处了解整个标签系统。
新增粉丝显示重复。	高峥姐您好，这个问题我们之前已经修复，原因是重复操作对用户关注，取消关注导致多次向数据库中插数据，现在操作已经不会有这个问题，您这里是之前的无效数据，后续我们会设法删除这些无效数据，感谢您的试用！
试试问题能不能通过	测试
评论列表不显示图像	是的
发现页面热门用户关注问题2	已发现此问题，优化中～
点赞可以看到点赞数，能否看到谁给我点的赞？	您好，你可以再消息页面中收到的赞这一模块具体哪一位用户给您点的赞，感谢您的试用！
如果未添加头像，评论列表也会不显示头像标识	对的，头像是联动的
建议在相关问题下方提供对应专家，支持选择向对应专家提问	已经在考虑设计邀请作答功能，直接向专家提问。
已关注的五星为灰色，建议修改为红色或黄色更醒目	鎰熻姝ら棶棰樻伆鎭扮浉鍙嶏紝鏈叧娉ㄦ椂閱掔洰浜涙墠濂?&nbsp;馃槃
电话区预留字段太短，需扩充	收。下个版本解决。
企业定期存款的起存金额是多少？	1万元
设置退出账号后，手机也退出应用，重新登录直接显示已登录。	您是iOS还是Android？
提问后选择添加标签页面，点击更多标签后空白	请更换网络试试~
我的一我的回答	已关注，感谢提出建议
首页搜索用户关注好友，单位名称显示不完整	还请提供一个case，谢谢
热门用户，排序中有的用户重复两次	已关注，谢谢反馈
ios-我的-首页，我自己报的问题重复显示	您好，问题已经修复，感谢您的反馈！
问题详情展示异常	服务器正常工作中，一般是网络不通畅造成的，换下网络试试吧
建议用户按姓氏排序	发现里面吗，里面是用户粉丝数以及标签负责人等因子综合排序推送的
是否可以增加私信功能	我回答一个
点完关注，能不能有个关注成功之类的提示	按钮就变成已关注了呀，挺明显的
标签能否有个部门的属性？这样可以重点关注本部门的内容？	您好现在的问题都是跟着产品线走的部门这个概念可能会有点太大
ios-我的-我的关注，进入关注的标签，看里面的问题上滑加载时一直显示加载中	我切到4g还是只能加载一次，再加载就不行了
我的-我的关注-标签问题	宸插彂鐜帮紝浼樺寲涓煓?
建议APP增加3项功能，修订一个bug（问题、文章、头像）	鎰熻阿鎮ㄧ殑寤鸿锛侀潪甯稿彈鐢?绗竴鏉＄湡鐨勬槸寰堟湁鐢ㄧ殑寤鸿 鎰熻阿瀵规垜浠伐浣滅殑鏀寔馃憦馃憦馃徎馃憦馃徏馃憦馃従馃憦馃徔
空用户	感谢反馈
发现一热门问题	您好，评论是无法删除的，后续可能会加入删除功能，感谢您的支持和反馈！
页面兼容性	收~
有时候按住图片上滑，怎么往下走啊。	大家有这个个请款吗，我是小米5x
我的-电话，iOS版本 电话无法维护	您好，目前已经支持联系电话的修改和维护，您在我的页面，点击电话即可进入维护页面就行修改，若无法修改，烦请您重新下载新版本app即可，感谢您的试用和支持！
回答完问题后，是否可以回到主干问题上。	您好，回答完问题之后提交，会显示回答的页面，点击页面上方的问题标题，就可以回到问题主页。
评论没有贴图功能	您好，目前评论功能不支持图片功能，感谢您的反馈和试用！
年终各套环境测试计划如何安排？	2017年年终决算测试分别在一、二、三、四套环境都有安排，今年总共安排了五轮年终测试，各套环境具体测试计划可在测试管理平台（tims）中：测试管理-测试环境计划.
问题如何添加图片	测试成功谢谢
如何启动nfs server？	service nfsserver restart
我的待回答问题是怎么来的	您好，待回答问题是针对专家用户定制的专区。每一个标签都会关联相应的专家，每当这个标签下出现新增的问题，相对应的专家就会在带回答问题中收到这个提醒，邀请您作答，未来我们还会研发推送消息，邀请和提醒您进行
人民币跨境汇款业务能在企业网银办理吗？	可以。
建议增加邀请回答的功能	你提我产品线的问题，我能在待回答里面看见。需要提问题的时候加准标签。
App意见建议提交问题	意见与建议是针对app的 没有必要纳入标签管理 建议在设置中单独设置 现在的易用性太差
海外内管如何查找柜员？	从数据库中查找，最好每次使用完记录下会员号，基本都可以重复使用。
我在待回答问题中查看问题的时候可以把该待回答问题推给产品线其他人吗？	安卓端有转处理功能,ios在开发中
企业网银跨境汇款的新版和旧版有什么区别？	新版暂不支持集中付款类业务。旧版跨境汇款落2070，新版落清算平台
待回答问题重复显示	您好，婷婷姐，这个问题关联了两个标签，这两个标签您都是对应的专家，待回答问题是按照标签进行推送的，所以会推送两次，后续我们会做一下排重处理，感谢您的试用和反馈！
企业网银跨境汇款是否支持手机银行授权？	支持
问题描述不明显	1.问题标题输入内容后在下方展示了按标题关键字搜索出的内容，但是因为搜索结果字体较大，而添加问题描述为蓝色小字，容易被忽略，建议加大字体或在下一步提示录入问题描述。
2.标签添加在问题描述后，建议在输
图片问题	啥问题
APP意见建议	1、电话栏只能输入数字，不能输入符号和文字，且限制20个字，如果想维护座机和手机就只能输入一长串数字2、发布完的问题找不到编辑维护的地方，我刚刚就是还没有写完建议就莫名提交了，只能自己回答问题补充3、
17年12月版cps上收项目青海分行是否安排试点？	是
如何实现平台连接主机数据库？	个人PC或者平台服务器可以安装DB2 CONNECT或者DB2 OPERATOR实现访问主机数据库。需要配置对应数据库的IP地址与端口号。例如核心个人一套环境&nbsp;IP:83.16.49.35
问题已解决和未解决的标准是什么？	您好，问题提出人选出最佳答案则问题闭环，问题就会置为已解决状态。
建议，提出的问题本人有撤销功能，如果标题提错了，无撤销功会产生很多垃圾数据。	赞同
这里提问可以指定某个人答复吗？	暂时未设置邀请作答功能，后续会考虑增加指定专家答复问题。
测试图片	鎯冲悆馃構
提交问题输入汉子时有报错提示，继续输入也能输上。	咋没回复呢
能否解决重复提问的问题	在提出问题时会自动检索匹配类似问题，如他人提过直接关注问题进展即可，从而降低重复问题咨询。
成品卡推广问题咨询	没有国内银行卡专业标签
分类标签目设置建议优化，绝大多数问题都是“其他”，存、贷、汇等操作问题分类更合理	谢谢冯总的建议，目前大家对标签分类建议最多，肖烨正在组织统筹考虑，您有具体建议意见随时提，现在缺少纯业务视角的划分法，拿不准哪种更合理和好操作。
线上支付地址是什么？	推广测试环境
pc端:  https://myipad.dccnet.com.cn/servlet/ICBCINBSEBusinessServlet

wap端: https://mywap2.dcc
建议增加对应业务线分管业务种类	建议很好，目前正在对标签做整体规划。不知各产品线能否给出本产品线的具体产品划分，数量会不会很大。或者如果采用白皮书的结构合适吗？总之欢迎提出各种建议，会统筹考虑并尽快优化，要不然分行使用起来确实不便。
为何提出问题后不能进行修改和删除操作呢？	后续加上
安卓手机为什么不能添加手机号？	请安装最新版本～
第一次买理财要做风险测评么？	是的，要去柜面做风险评估。
新评论展现	涓嶆劎鏄尃浜猴紝鍘夊馃憤
问题描述保留	感谢您的反馈，我们后续就进行优化！
关于“发现”的梗！！！	欢迎优化建议！
如何就一个问题进行追加提问，我感觉有的问题很好，想进一步刨根问底	怎么添加评论呢 肖老师
缺少银行卡各产品线标签	王姐，标签会整体考虑重新规划下，谢谢。
优化建议	孟重姐，话题和论坛的需求会在二期项目建设中整体考虑，感谢您的建议。
请问手机银行app测试端	&#22659;&#20869;&#25163;&#26426;443&#19968;&#22871;&#65292;446&#20108;&#22871;,447&#19977;&#22871;,4
test	不知道
商友套餐问题	异费减免之前是占用的，从异费减免后不在占用笔数。
测试1	123123
结算套餐	套餐购买后实时生效，必要把签订套餐和跨行汇款放在同一个购物车里一起提交，需要先签订套餐后再进行汇款，套餐才可以使用。
部分同事ios为9.0版本，下载不了此app，建议尽快优化	已优化，明天的版本就能支持！
我行票据有哪些类别？	我行票据种类包括四大类：支票（转账支票，现金支票，普通支票）；银行汇票；银行本票；商业汇票（银行承兑汇票，商业承兑汇票）。
参数表下载报错	系统要求一个地区只能同时有一个柜员做1110参数下载，如果多人下载就会出现该提示。如果长期出现该提示，且提示的柜员号是同一个，可能是该柜员下载出现问题，无法正常退出造成。处理方法为：进入pvc，然后点
App个人基本信息维护	我之前也遇到了，一定是老粉才会有这样的问题～重新下载更新就好了～新版本提供了这部分功能
鍏虫敞闂鐨勭偣璧烉煈嶅湪浣曞锛熻鎸囨暀馃檹	您好 问题不能点赞 只有回答可以点赞 您可以点回答进入回答详情 再右下角点赞
安卓客户端经常出现闪退	您好，是Android吗？手机型号是？低配的手机会有内存溢出导致的闪退问题，昨天修复了，今天发版本解决。请您到时再验证。
用户机构和回答问题时间重叠，是否需要错行显示	正在做机构名称缩减处理，下个版本解决之。
点击“问题详情”页面的用户头像无法登入个人主页	已优化。
提出的问题无法删除？是我操作有误还是目前不支持删除问题哈？	目前手机端不支持删除，后续可通过沟通维护问题，请了解。
提个问题试一下	添加答案试一下，完美！
app与苹果手机适用性问题	额，想提个问题试一下，直接提交了。app与苹果手机适应性差，安装，修改信息等经常会出现死机，反应太慢的情况，周围多数苹果手机出现这种现象
若5598登记如意金发票有误且已生成发票，如何重新登记发票？	若已打印出发票，则先将发票通过作废或红冲处理置为“未打印”状态后，通过“贵金属个人普通发票打印”功能找到对应的如意金发票记录，点击“取消”按钮，将如意金发票额度实时回退，回退后再通知客户赴网点重新55
希望在我关心的问题出现时，有提醒功能。	您好，近期我们会上线消息推送功能，您关注的问题收到回答时，除了在消息页面上有红点进行提示在，系统也会推送您关注的信息，确保您不遗漏每一条您关注的内容，感谢您的试用和反馈！
问题丢失	您好，首页的信息流是按照时间顺序排列的，您可以上翻到提出问题时间，即可查看到该问题
个人信息完善	ios最新版本已经解决这个问题，您重新下载更新就可以使用了，感谢使用！
提出问题后的问题流转建议	您好，每个提出的问题都会关联标签，每个标签都会关联相应的专家团队，您提出的问题，相应的专家团队会在待回答问题中进行呈现，提醒专家进行作答。同时，问题流转主要在后台web进行处理，正在研发中，尽情期待，
贷款的客户可以设置到期归还贷款的短信提醒吗？	到期归还短信提醒参数，由各分行统一设置，内容涉及业务品种，通知方式，提前几日提示。涉及具体业务 ，在贷款申请时，申请录入柜员勾选提示  后续贷款到期，客户即可收到短信提示。
已审批的快速贷款业务，申请时没选择网签，审批后还能修改么？	这种情况的话，合同无法再进行网签；如果客户仍希望在企网提款，那需要客户经理操作gcms“网络融资线下待确认处理”，走二次作业监督，然后做“合同挂接”，客户就可以在网银提款啦^_^
标签问题	您好，标签体系正在进行重构，敬请期待！
请问我行的个人住房贷款，目前都有哪些申请渠道呢	客户可以通过我行个人网上银行、手机银行、微信公众号、或通过扫描二维码进入我行微信银行进行自助渠道的个人住房贷款申请；也可携带资料前往我行各大网点进行现场办理。
发现页签	您好，热门用户是通过点赞数多少进行推荐的
为什么有些已有答复的问题点进去后不显示添加回答和关注的按钮	您好，您截图的页面是回答页面，您点击页面上方的标题就可以进入问题页，可以看到关注等操作按钮，以及回答列表。设计回答详情页的初衷就是在于，回答问题时，可能会需要较长的文字和图片，所以有一个具体页面更好的
点赞功能能提到回答主页面么	收。
能否搞个智能机器人回答一些常见的普通问题？	在考虑，后面慢慢加上，自助服务。
色彩有些单调啊	可以传点绚丽的图片
今年年终财会人员重点关注的内容？	损益预查询效率
Ifrs9正式投产切换
资管产品营改增投产
mova中客户贡献指标跨年计算
……
请问增值税报销发票填写的时候需要注意什么呢？	微信有个发票助手的小程序，可以把常用的票号保存起来，每次开票甩手机即可
附件问题	这个要等一下，后续慢慢支持。
个人信息维护不了	您好 感谢您的试用 您可以在 “我的” 里面 点击电话 和介绍 对自己的这两个信息进行编辑
提供更新菜单	安装新版本后已解决
无法正常浏览多图片信息	优化中.....
提问标签点错了，如何修改？	后续在pc端提供修改功能。
年终决算存贷款预查询安排多少场次	预计与往年相同，14点开始每小时一场
怎么快速找到自己可以回复的专业问题？目前貌似不太好找	建议能有自动关联到人的功能
使用北数i服务app是一种怎样的体验？	根本停不下来ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”哇哈哈～
建议开发网页版	霍总，网页版正在测试中。测试完成后发布公测。
对于提交问题功能	您好，后续会提供该功能，敬请期待，感谢您的试用和反馈！
在智能终端机开通电子银行，U盾能否同步灌密？	目前设备不支持。业务曾经提出需求，希望完成一站式服务，但由于设备尚无usb插口，不支持灌密。近期总行已再次提出此需求，目前正待科技部与厂商协调，评估设备是否可进行改造及相关事宜。
苹果手机有时客户下载手机客户端为什么显示的不是最新版本	您好，若提示不是最新版本，您可以点击安装跳转到下载页面，下载新版本，感谢您的试用和反馈！
我们提问的问题和答案能否划成每个板块，查看的时候可以针对性的看，这样看起来太乱了	测试下
字体大小调整	您好 感谢您的建议 相关功能已经被记录👏🏻👏🏻👏🏻
我的那个板块	感谢您的建议 &nbsp;“我的” 和 “信息” 相关页面可能会进行进一步调整下 接下来的版本中会有一些变化
好像不能删除答复啊。	后续pc端会有功能。
